,Accuracy,Specificity,Sensitivity,AUC
0,0.4166666666666667,1.0,0.0,0.2857142857142857
1,0.3333333333333333,0.2,0.42857142857142855,0.7142857142857142
2,0.5833333333333334,0.8,0.42857142857142855,0.6000000000000001
3,0.4166666666666667,1.0,0.0,0.2857142857142857
4,0.5833333333333334,0.4,0.7142857142857143,0.37142857142857144
5,0.4166666666666667,1.0,0.0,0.19999999999999998
6,0.5833333333333334,1.0,0.2857142857142857,0.37142857142857144
7,0.5,0.0,0.8571428571428571,0.7714285714285715
8,0.5,0.2,0.7142857142857143,0.6
9,0.4166666666666667,0.4,0.42857142857142855,0.7142857142857142
10,0.3333333333333333,0.2,0.42857142857142855,0.6857142857142857
11,0.4166666666666667,0.2,0.5714285714285714,0.6571428571428571
12,0.5833333333333334,0.8,0.42857142857142855,0.39999999999999997
13,0.5,0.0,0.8571428571428571,0.3142857142857143
14,0.5,0.4,0.5714285714285714,0.39999999999999997
15,0.5833333333333334,0.8,0.42857142857142855,0.2857142857142857
16,0.5833333333333334,0.6,0.5714285714285714,0.7714285714285714
17,0.4166666666666667,0.4,0.42857142857142855,0.48571428571428565
18,0.6666666666666666,0.2,1.0,0.1714285714285714
19,0.4166666666666667,1.0,0.0,0.37142857142857144
20,0.5,0.4,0.5714285714285714,0.42857142857142855
21,0.5,0.6,0.42857142857142855,0.45714285714285713
22,0.75,0.6,0.8571428571428571,0.7142857142857143
23,0.5,0.4,0.5714285714285714,0.6571428571428571
24,0.5,0.4,0.5714285714285714,0.48571428571428565
25,0.5,0.4,0.5714285714285714,0.42857142857142855
26,0.5,0.2,0.7142857142857143,0.5142857142857142
27,0.5,0.6,0.42857142857142855,0.42857142857142855
28,0.4166666666666667,0.6,0.2857142857142857,0.1714285714285714
29,0.4166666666666667,1.0,0.0,0.7428571428571429
30,0.4166666666666667,0.6,0.2857142857142857,0.7142857142857143
31,0.4166666666666667,0.2,0.5714285714285714,0.5714285714285714
32,0.4166666666666667,0.6,0.2857142857142857,0.22857142857142854
33,0.5833333333333334,0.0,1.0,0.4285714285714286
34,0.5833333333333334,0.4,0.7142857142857143,0.4571428571428571
35,0.5,0.4,0.5714285714285714,0.4285714285714285
36,0.5,0.4,0.5714285714285714,0.3142857142857143
37,0.3333333333333333,0.6,0.14285714285714285,0.6285714285714286
38,0.25,0.0,0.42857142857142855,0.22857142857142856
39,0.4166666666666667,0.2,0.5714285714285714,0.5428571428571429
40,0.3333333333333333,0.6,0.14285714285714285,0.5428571428571429
41,0.5,0.4,0.5714285714285714,0.7714285714285714
42,0.6666666666666666,0.6,0.7142857142857143,0.5714285714285714
43,0.5,0.6,0.42857142857142855,0.6285714285714286
44,0.3333333333333333,0.4,0.2857142857142857,0.3142857142857142
45,0.8333333333333334,0.8,0.8571428571428571,0.17142857142857137
46,0.3333333333333333,0.4,0.2857142857142857,0.3142857142857142
47,0.3333333333333333,0.0,0.5714285714285714,0.6285714285714286
